Y,X1,X2,X3,X4,X5,X6,X7
T,4795000000,4900262180,15,1,0.98,0.02,39
T,5221828000,5433399942,15,1,0.96,0.04,50
T,2897914000,2949754940,13,1,0.98,0.02,54
T,2285983000,2388471632,33,1,0.96,0.04,36
T,920891000,930882475,27,1,0.99,0.01,36
T,2196919412,2313707173,29,1,0.95,0.05,36
T,2156789834,2378661747,29,1,0.91,0.09,39
T,2302585248,2478109615,22,1,0.93,0.07,32
T,2298500325,2472153699,22,1,0.93,0.07,39
T,2324214284,2499475772,22,1,0.93,0.07,32
T,1000708000,1049963380,14,1,0.95,0.05,46
T,692049000,750000000,24,1,0.92,0.08,29
T,4799973000,4899798940,21,2,0.98,0.02,50
T,11761174000,11921626869,21,2,0.99,0.01,57
T,659172180,795206577,15,1,0.83,0.17,54
T,2256477335,2849697801,28,1,0.79,0.21,61
Y,11546018400,14994799783,46,2,0.77,0.23,68
Y,3528049000,4829808279,46,2,0.73,0.27,57
Y,2658502200,2899908050,23,1,0.92,0.08,39
Y,1486757250,1537244863,10,1,0.97,0.03,42.86
Y,11839495000,12810456156,24,1,0.92,0.08,35.71
Y,10627605000,11730249707,30,1,0.91,0.09,50
Y,2859542000,2895114957,28,1,0.99,0.01,46.43
Y,5297557800,5434439023,16,1,0.97,0.03,57.14
T,4175367000,4232392000,17,1,0.99,0.01,53.57
T,898339000,949998000,21,1,0.95,0.05,32.14
Y,1897000000,1939928710,12,1,0.98,0.02,39.29
Y,72035762000,84067281538,48,1,0.86,0.14,57.14
Y,13221547000,15657914691,53,2,0.84,0.16,54
Y,740461900,867759200,22,1,0.85,0.15,46.43
T,614900000,623938406,15,1,0.99,0.01,46.43
T,270889000,274578844,16,1,0.99,0.01,42.86
Y,18040000000,19024419654,24,1,0.95,0.05,50
Y,9350927792,9749999823,31,1,0.96,0.04,35.71
Y,312522000,317234204,35,1,0.99,0.01,46.43
Y,234435999,237583322,35,1,0.99,0.01,42.86
Y,1250982000,1270261697,35,1,0.98,0.02,53.57
Y,2887600000,2977071685,9,1,0.97,0.03,46.43
Y,1861500000,1890221040,13,1,0.98,0.02,42.86
T,1374768000,1220034295,13,1,1.13,-0.13,42.86
T,2660000000,2695592079,22,1,0.99,0.01,46.43
Y,738500000,749771017,26,1,0.98,0.02,50
Y,806000000,848702583,21,1,0.95,0.05,32.14
Y,6976000000,7074925336,15,1,0.99,0.01,46.43
Y,12337441000,12759749246,21,1,0.97,0.03,39.29
Y,4277000000,4331115609,13,1,0.99,0.01,39.29
Y,4810000000,4327646281,16,1,1.11,-0.11,35.71
Y,665000000,589099575,23,1,1.13,-0.13,57.14
Y,665000000,589099575,23,1,1.13,-0.13,50
T,3385400000,3605650000,36,1,0.94,0.06,39.29
T,8581554000,8618000000,16,1,1,0,64.29
T,2571887000,2580118280,25,2,1,0,57.14
T,3911174000,3933828160,25,2,0.99,0.01,57.14
Y,8666869000,8774610000,11,1,0.99,0.01,39.29
Y,48933251589,61166564000,49,1,0.8,0.2,64
Y,56187131678,66183153000,27,1,0.85,0.15,50
Y,48489343210,60611678000,27,1,0.8,0.2,46
T,44364880049,45275514354,28,1,0.98,0.02,57.14
T,2.75973E+11,3.0849E+11,55,1,0.89,0.11,60.71
T,93109540040,1.03696E+11,55,1,0.9,0.1,46.43
Y,70600000000,82037723424,43,2,0.86,0.14,46
Y,40539657000,43660000000,24,1,0.93,0.07,36
Y,4780148148,4772921000,20,1,1,0,42.86
Y,2465010000,2522286622,14,1,0.98,0.02,21.43
Y,84971193700,95559680000,46,2,0.89,0.11,46
Y,11894640000,12068000000,17,1,0.99,0.01,43
T,20085694000,22434544589,29,2,0.9,0.1,39
T,11579095000,12449426067,25,1,0.93,0.07,43
Y,57971000000,63434000000,17,2,0.91,0.09,39
T,4191015000,4289792000,17,1,0.98,0.02,39.29
T,2755340000,2800530000,23,2,0.98,0.02,57
T,1835000000,1866277658,21,1,0.98,0.02,53.57
T,1870000000,1830000000,21,1,1.02,-0.02,39
